TEACHID,PERIOD,MONTH,DAY,YEAR,time,timepoint,STUDID,ENJOY,FEELGD,CONCEN,SUCCEED,LEARN,CONTROL,WRKHARD,GOODGR,OWNEXP,TCHEXP,PAREXP,CHALL,SKILL,IMPTYOU,IMPTGOAL,SOMELSE,INTEREST,HAPPY,FRUSTR,STRESS,ANGRY,EXCITED,PROUD,BORED,COMPET,COOPER,USEFUL,USE,group,brain,class_type,grade,ESF_counts,Uti7T,Uti7S,Uti79TS,Uti7T9B,Use_r,Uful_r,Ugroup,seven,t_days,timepoint_mean,t_week,form_set,beh_enga,cog_enga,aff_enga,Date,beep_ID
10,4,4,24,12,3,11,1170846,2,2,1,3,1,2,2,2,2,2,2,0,3,2,0,1,2,2,0,0,0,1,0,1,0,2,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,1.5,1,2,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170859,3,3,0,3,3,3,3,3,3,3,3,1,2,3,3,1,3,3,0,0,0,3,0,0,0,3,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,1.5,3,3,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170861,2,1,3,2,1,2,3,3,3,3,3,1,3,3,0,1,3,2,1,2,0,3,3,3,3,3,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,3,1.5,2.5,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170868,2,2,3,3,0,3,3,3,3,3,1,0,3,3,1,0,2,2,0,0,0,2,0,1,0,3,3,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,3,2,2,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170871,3,3,3,3,3,3,3,3,3,3,3,0,3,2,0,0,3,1,0,0,0,3,3,0,0,0,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,217,11,31,1,3,1,3,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170908,3,3,3,3,3,3,3,3,3,3,3,0,2,3,3,0,3,3,0,0,0,2,0,0,0,3,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,217,11,31,1,3,3,3,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170921,3,3,3,3,3,3,3,3,3,3,3,0,3,3,2,0,3,3,0,0,0,1,1,1,0,3,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,3,2.5,3,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170947,1,1,1,1,2,2,3,3,2,3,3,2,2,2,2,2,2,3,0,0,0,0,1,0,1,2,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,2,2,1.5,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1170997,3,2,2,3,2,2,2,2,2,2,3,0,3,2,1,1,2,3,0,0,0,2,2,1,0,3,1,3,4,0,NaN,7,1,0,0,0,0,0,1,0,1,217,11,31,1,2,1.5,2.5,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1171083,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,2,3,3,0,3,3,0,0,1,0,3,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,3,3,3,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1171093,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,0,3,3,1,0,0,3,3,0,0,0,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,3,3,3,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1171098,2,3,2,3,2,2,3,3,3,3,3,0,3,3,3,0,3,3,0,0,0,2,2,0,0,3,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,217,11,31,1,2.5,3,2.5,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1171103,0,2,2,2,0,2,1,2,2,2,2,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,1.5,0,0,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1171266,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,0,3,3,0,0,0,3,3,0,0,3,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,217,11,31,1,3,2.5,3,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,1171696,3,3,3,1,1,3,3,3,2,2,2,2,2,3,3,0,2,3,0,0,0,2,2,0,0,0,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,217,11,31,1,3,3,2.5,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,3000762,2,3,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,1,2,2,2,2,2,2,2,2,1,2,4,0,NaN,7,1,0,0,0,0,0,1,0,1,217,11,31,1,1,0.5,1.5,2012-04-24,432012-04-2410
10,4,4,24,12,3,11,3003285,3,1,2,2,3,1,3,3,3,3,3,2,1,3,3,3,2,1,1,1,1,2,3,1,3,3,1,1,4,0,NaN,7,1,0,0,0,0,1,1,0,1,217,11,31,1,2.5,3,2.5,2012-04-24,432012-04-2410
10,4,12,12,11,3,9,1170131,2,2,3,2,0,2,2,2,3,3,3,0,0,2,2,2,2,1,1,1,1,1,1,1,0,0,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,2.5,2,2,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170180,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,0,0,0,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170252,3,3,2,3,2,1,0,2,3,3,3,0,2,3,1,1,2,0,0,0,0,0,0,0,0,0,3,3,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,1,2,2.5,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170256,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,2,2,2,2011-12-12,432011-12-1210
10,4,12,12,11,3,9,1170741,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,3,0,0,2,2,4,0,NaN,7,1,0,0,0,0,0,0,0,1,83,9,8,1,0,1,0,2011-12-12,432011-12-1210
